"deploymentID", "timestamp", "variable", "value"
30,1524579060,"water temperature",13.834
30,1524579660,"water temperature",13.764
30,1524580260,"water temperature",13.529
30,1524580860,"water temperature",13.406
30,1524581460,"water temperature",13.266
30,1524582060,"water temperature",13.135
30,1524582660,"water temperature",12.977
30,1524583260,"water temperature",12.854
30,1524583860,"water temperature",12.748
30,1524584460,"water temperature",12.686
30,1524585060,"water temperature",12.554
30,1524585660,"water temperature",12.386
30,1524586260,"water temperature",12.289
30,1524586860,"water temperature",12.156
30,1524587460,"water temperature",12.04
30,1524588060,"water temperature",11.907
30,1524588660,"water temperature",11.791
30,1524589260,"water temperature",11.657
30,1524589860,"water temperature",11.586
30,1524590460,"water temperature",11.496
30,1524591060,"water temperature",11.389
30,1524591660,"water temperature",11.29
30,1524592260,"water temperature",11.227
30,1524592860,"water temperature",11.074
30,1524593460,"water temperature",10.993
30,1524594060,"water temperature",10.867
30,1524594660,"water temperature",10.749
30,1524595260,"water temperature",10.65
30,1524595860,"water temperature",10.487
30,1524596460,"water temperature",10.35
30,1524597060,"water temperature",10.278
30,1524597660,"water temperature",10.186
30,1524598260,"water temperature",10.059
30,1524598860,"water temperature",9.949
30,1524599460,"water temperature",9.821
30,1524600060,"water temperature",9.729
30,1524600660,"water temperature",9.655
30,1524601260,"water temperature",9.517
30,1524601860,"water temperature",9.49
30,1524602460,"water temperature",9.416
30,1524603060,"water temperature",9.333
30,1524603660,"water temperature",9.268
30,1524604260,"water temperature",9.157
30,1524604860,"water temperature",9.092
30,1524605460,"water temperature",9.027
30,1524606060,"water temperature",8.971
30,1524606660,"water temperature",8.878
30,1524607260,"water temperature",8.841
30,1524607860,"water temperature",8.729
30,1524608460,"water temperature",8.692
30,1524609060,"water temperature",8.636
30,1524609660,"water temperature",8.571
30,1524610260,"water temperature",8.477
30,1524610860,"water temperature",8.439
30,1524611460,"water temperature",8.355
30,1524612060,"water temperature",8.308
30,1524612660,"water temperature",8.205
30,1524613260,"water temperature",8.129
30,1524613860,"water temperature",8.073
30,1524614460,"water temperature",8.007
30,1524615060,"water temperature",7.94
30,1524615660,"water temperature",7.893
30,1524616260,"water temperature",7.836
30,1524616860,"water temperature",7.76
30,1524617460,"water temperature",7.694
30,1524618060,"water temperature",7.647
30,1524618660,"water temperature",7.599
